location;total_cases_per_million;total_deaths_per_million;total_vaccinations_per_hundred;gdp_per_capita;population_density;hospital_beds_per_thousand;median_age;cluster
Kyrgyzstan;0.03505741309016296;0.02136353677578731;0.19810935174305988;0.023498129768248138;0.0038350971410519665;0.33976833976833976;0.338368580060423;0
Laos;0.03474316542113506;0.006105932350652581;0.3622644397006135;0.049332630168852365;0.0035052914231558994;0.1081081081081081;0.28096676737160114;0
Latvia;0.5540835425288174;0.3284689917312682;0.43202629237715146;0.20987094661282166;0.003693571315747907;0.42239382239382245;0.8700906344410873;1
Lebanon;0.3905332453979751;0.24060961353016203;0.2592236752481884;0.10927877822763335;0.07487979782024957;0.2162162162162162;0.48338368580060415;2
Liberia;0.0028074024684403395;0.007415279892181207;0.19869192769229516;0.0007873618913060466;0.005957984520612859;0.05405405405405406;0.12386706948640486;0
Libya;0.1716012508702592;0.12089554406834838;0.16979540502705784;0.14810032065538786;0.00020723424419522983;0.277992277992278;0.4199395770392748;0
Lithuania;0.8728516083890894;0.4117202747121723;0.5985829969230817;0.24823202638999695;0.005453798767967147;0.4988416988416988;0.8580060422960722;1
Luxembourg;0.8667007910915601;0.17493236659067168;0.6955907177069787;0.8051364032448772;0.028996367082609383;0.34054054054054056;0.7432024169184288;1
Madagascar;0.005294747896086436;0.0064911418094410825;0.02329507352065098;0.006494983072794382;0.005303427578581584;0.007722007722007722;0.13595166163141997;0
Malawi;0.008587781362644669;0.01629694467512962;0.03264607742237584;0.003730831113583425;0.02470889274996051;0.09266409266409269;0.09063444108761337;0
Malaysia;0.31058897801946816;0.1307861730502679;0.7727691223985691;0.22487262024061025;0.01191217817090507;0.13899613899613897;0.4471299093655587;2
Mali;0.0022551560814292;0.004328212209193164;0.030203655490753614;0.011636873339917763;0.0016705101879639869;0.0;0.0392749244712991;0
Malta;0.40643138620092856;0.1862482854294635;0.8820593411707859;0.3083403770186308;0.1834857052598326;0.338996138996139;0.8247734138972806;1
Mauritius;0.33852217784665894;0.06741252483126427;0.6908052237188083;0.16883773860376447;0.07846848839045965;0.2548262548262548;0.673716012084592;2
Mexico;0.0826496083444138;0.33141988361409574;0.3027592103478336;0.14341278679151626;0.008145316695624703;0.09884169884169883;0.4290030211480363;0
Moldova;0.36189873768826397;0.46022196807467636;0.18775510175277024;0.03894865557634547;0.01537577002053388;0.44015444015444016;0.6797583081570995;2
Mongolia;0.36285875069930695;0.052855773973351464;0.5505980243571091;0.0961485404004804;0.0;0.5328185328185329;0.4078549848942598;2
